author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
2816984354,2021-10-26 23:59:59+00:00, ,1453149441020469249,en,0,0,0,327,Twitter for Android,"RT @AdamBandt: A real plan for climate action means no more coal and gas.

They’re the biggest causes of climate change.

If you’re backin…"
1058031513663664128,2021-10-26 23:59:59+00:00, ,1453149440521523206,en,0,0,0,9,Twitter Web App,"RT @math_rachel: Many of the lessons from climate denialism debates apply to covid as well 3/
 
https://t.co/LmvyHi33JX"
24503810,2021-10-26 23:59:59+00:00, ,1453149439074312196,en,0,0,0,15,Twitter for iPhone,"RT @SBSNews: Their ancestors have lived on the islands of Boigu and Saibai for over 65,000 years. Now, they fear an escalating climate cris…"
1231755513731280902,2021-10-26 23:59:58+00:00, ,1453149438399041537,en,0,0,0,2205,Twitter Web App,"RT @danilic: From friend in UK ""the first 10 minutes of the BBCs 9pm news tonight was dedicated to Australia’s appalling commitment to clim…"
2790541918,2021-10-26 23:59:58+00:00, ,1453149436457066496,en,0,0,0,2205,Twitter Web App,"RT @danilic: From friend in UK ""the first 10 minutes of the BBCs 9pm news tonight was dedicated to Australia’s appalling commitment to clim…"
840836808,2021-10-26 23:59:58+00:00, ,1453149434955456513,en,4,0,2,0,Twitter for iPhone,"Wait are people seriously upset by this Far Cry 6 email thing? Ubisoft have done this email prompt for a while in one form or another, it’s just marketing, jeez.

Find something more serious to get upset about, like climate change."
2377767540,2021-10-26 23:59:57+00:00, ,1453149433646829573,en,0,0,0,406,Twitter for iPhone,RT @jmil400: The #Nationals ‘real’ climate change policy….🤷🏻‍♂️ https://t.co/UsIkmE4MAf
1387664175078383617,2021-10-26 23:59:57+00:00, ,1453149430832517125,en,0,0,0,0,Twitter for Android,@barriecassidy Most Australians would certainly support the PMs views on this rather than extreme climate alarmists. Look at the mess the UK has created with skyrocketing energy bills and fuel shortages by blindly following solar/wind generation to appease the alarmists.
3383656727,2021-10-26 23:59:56+00:00, ,1453149428051759111,en,0,0,0,34,Twitter Web App,RT @Elenaforever13: Russian President Vladimir Putin has confirmed that he no longer plans on attending the COP26 climate summit due to tak…
163412567,2021-10-26 23:59:56+00:00, ,1453149428030738437,en,0,0,0,54,Twitter for iPhone,"RT @pgarrett: The Lucky Country under the @The_Nationals. Seriously 'second rate' people; immune to reason, science &amp; climate crisis impact…"
